Descrption,Test_ID,Functionality_Test_Case,User_Interface_Test_Case,Performance_Test_Case,Integration_Test_Case,Usability_Test_Case,Database_Test_Case,Security_Test_Case,User_Acceptance_Test_Case
Check the page load on slow connections.,test156,0,0,1,0,0,0,0,0
"Check the response time for any action under a light, normal, moderate, and heavy load conditions.",test157,0,0,1,0,0,0,0,0
Check the performance of database stored procedures and triggers.,test158,0,0,1,0,0,0,0,0
Check the database query execution time.,test159,0,0,1,0,0,0,0,0
Check for load testing of the application.,test160,0,0,1,0,0,0,0,0
Check for the Stress testing of the application.,test161,0,0,1,0,0,0,0,0
Check CPU and memory usage under peak load conditions.,test162,0,0,1,0,0,0,0,0
Check for SQL injection attacks.,test163,0,0,0,0,0,0,1,0
Secure pages should use the HTTPS protocol.,test164,0,0,0,0,0,0,1,0
The error page should be displayed for this.,test165,0,0,0,0,0,0,1,0
Escape special characters in the input.,test166,0,0,0,0,0,0,1,0
Error messages should not reveal any sensitive information.,test167,0,0,0,0,0,0,1,0
All credentials should be transferred over an encrypted channel.,test168,0,0,0,0,0,0,1,0
Test password security and password policy enforcement.,test169,0,0,0,0,0,0,1,0
Check application logout functionality.,test170,0,0,0,0,0,0,1,0
Check for Brute Force Attacks.,test171,0,0,0,0,0,0,1,0
Cookie information should be stored in encrypted format only.,test172,0,0,0,0,0,0,1,0
Check session cookie duration and session termination after timeout or logout.,test173,0,0,0,0,0,0,1,0
Session tokens should be transmitted over a secured channel.,test174,0,0,0,0,0,0,1,0
The password should not be stored in cookies.,test175,0,0,0,0,0,0,1,0
Test for Denial of Service attacks.,test176,0,0,0,0,0,0,1,0
Test for memory leakage.,test177,0,0,0,0,0,0,1,0
Test unauthorized application access by manipulating variable values in the browser address bar.,test178,0,0,0,0,0,0,1,0
Test file extension handing so that exe files are not uploaded and executed on the server.,test179,0,0,0,0,0,0,1,0
Sensitive fields like passwords and credit card information should not have to autocomplete enabled.,test180,0,0,0,0,0,0,1,0
File upload functionality should use file type restrictions and also anti-virus for scanning uploaded files.,test181,0,0,0,0,0,0,1,0
Check if directory listing is prohibited.,test182,0,0,0,0,0,0,1,0
Passwords and other sensitive fields should be masked while typing.,test183,0,0,0,0,0,0,1,0
Check if forgot password functionality is secured with features like temporary password expiry after specified hours and security question is asked before changing or requesting a new password.,test184,0,0,0,0,0,0,1,0
Verify CAPTCHA functionality.,test185,0,0,0,0,0,0,1,0
Check if important events are logged in log files.,test186,0,0,0,0,0,0,1,0
Check if access privileges are implemented correctly.,test187,0,0,0,0,0,0,1,0
environment to be production,test188,0,0,0,0,0,0,1,0
response should be okay to process,test189,0,0,0,0,0,0,1,0
response must be valid and have a body,test190,0,0,0,0,0,0,1,0
Testing if user is able to navigate to the application website,test191,0,1,0,0,0,0,0,0
Testing if the user is able to enter username and password on the login page.,test192,0,1,0,0,0,0,0,0
Testing if login page title is displayed as StackDemo,test193,0,1,0,0,0,0,0,0
Testing if the user is able to click on the login button and is navigated to the homepage.,test194,0,1,0,0,0,0,0,0
Testing if the username is displayed on the homepage after login to Bstackdemo.,test195,0,1,0,0,0,0,0,0
Testing if the “Add to Cart” button is displayed against the item the user wants to add to the cart.,test196,0,1,0,0,0,0,0,0
Testing if “Add to Cart” button is enabled and user is able to add item to the cart,test197,0,1,0,0,0,0,0,0
"Testing that after adding the item to cart, the time is visible in the bag.",test198,0,1,0,0,0,0,0,0
Testing if the item price is displayed ,test199,0,1,0,0,0,0,0,0
Testing if the checkout button is displayed and user is able to click on the checkout button.,test200,0,1,0,0,0,0,0,0
"Testing if the user has the option to enter mandatory details like First Name, Last Name, Address, State/Province and Postal Code.",test201,0,1,0,0,0,0,0,0
Testing if user is able to click on submit button,test202,0,1,0,0,0,0,0,0
Testing if the message “Your order has been successfully placed” is displayed after clicking on the submit button.,test203,0,1,0,0,0,0,0,0
Testing if “download order receipt” has been generated in pdf format.,test204,0,1,0,0,0,0,0,0
" Testing the size, position, width, height of the elements.",test205,0,1,0,0,0,0,0,0
Testing of the error messages that are getting displayed.,test206,0,1,0,0,0,0,0,0
Testing the different sections of the screen.,test207,0,1,0,0,0,0,0,0
Testing of the font whether it is readable or not.,test208,0,1,0,0,0,0,0,0
"Testing of the screen in different resolutions with the help of zooming in and zooming out like 640 x 480, 600×800, etc.",test209,0,1,0,0,0,0,0,0
"Testing the alignment of the texts and other elements like icons, buttons, etc. are in proper place or not.",test210,0,1,0,0,0,0,0,0
Testing the colors of the fonts.,test211,0,1,0,0,0,0,0,0
"Testing the colors of the error messages, warning messages.",test212,0,1,0,0,0,0,0,0
Testing whether the image has good clarity or not.,test213,0,1,0,0,0,0,0,0
Testing the alignment of the images.,test214,0,1,0,0,0,0,0,0
Testing of the spelling.,test215,0,1,0,0,0,0,0,0
The user must not get frustrated while using the system interface.,test216,0,1,0,0,0,0,0,0
Testing whether the interface is attractive or not.,test217,0,1,0,0,0,0,0,0
Testing of the scrollbars according to the size of the page if any.,test218,0,1,0,0,0,0,0,0
Testing of the disabled fields if any.,test219,0,1,0,0,0,0,0,0
Testing of the size of the images.,test220,0,1,0,0,0,0,0,0
Testing of the headings whether it is properly aligned or not.,test221,0,1,0,0,0,0,0,0
Testing of the color of the hyperlink.,test222,0,1,0,0,0,0,0,0
Check the interface link between the Login and Mailbox module. Enter login credentials and click on the Login button,test223,0,0,0,1,0,0,0,0
Check the interface link between the Mailbox and Delete Mails Module. From Mailbox select the email and click a delete button. ,test224,0,0,0,1,0,0,0,0
Test integration between the payment gateway and the booking system,test225,0,0,0,1,0,0,0,0
Test the integration between the messaging system and the notification system,test226,0,0,0,1,0,0,0,0
Test the integration between the billing system and the accounting system,test227,0,0,0,1,0,0,0,0
Test the integration between the search engine and the recommendation engine,test228,0,0,0,1,0,0,0,0
"Successful User RegistrationGiven the user is on the registration page.When the user enters valid registration information, including a unique username, a valid email address, and a strong password.And the user clicks the ""Register"" button.Then the user should be redirected to a ""Thank You"" page.And the user should receive a confirmation email.",test229,0,0,0,0,0,0,0,1
"Registration with Existing EmailGiven the user is on the registration page.When the user enters a valid username, a valid email address that is already registered in the system, and a strong password.And the user clicks the ""Register"" button.Then the user should see an error message indicating that the email address is already in use.And the user should not be registered.",test230,0,0,0,0,0,0,0,1
"Weak PasswordGiven the user is on the registration page.When the user enters valid registration information, including a unique username, a valid email address, but a weak password (less than 8 characters).And the user clicks the ""Register"" button.Then the user should see an error message indicating that the password is too weak.And the user should not be registered.",test231,0,0,0,0,0,0,0,1
"Missing UsernameGiven the user is on the registration page.When the user enters valid registration information, including a valid email address and a strong password, but leaves the username field blank.And the user clicks the ""Register"" button.Then the user should see an error message indicating that the username is required.And the user should not be registered.",test232,0,0,0,0,0,0,0,1
" When manufacturing ballpoint pens, caps, bodies, ends, and clips, ink cartridges, and ballpoint pens are manufactured and tested separately. Once you have two or more units ready, assemble them and run integration tests. Once the full pen is integrated, a system test will be run. After Once system testing is complete, acceptance testing is performed to ensure the pen is ready for delivery to end users (students, poets, hobbyists, etc.).",test233,0,0,0,0,0,0,0,1
" Paytm wants to make applications for its customers, and TCS is given the contract to make them. And suppose TCS completed the application development. The question is whether Paytm will use applications obtained from TCS as soon as they get them from TCS. No, Paytm has a group of test engineers who start testing the application after receiving the software. These end-to-end tests are performed in a customer environment called User Acceptance Testing.",test234,0,0,0,0,0,0,0,1
