Description,Test_ID,anger,boredom,enthusiasm,fun,happiness,hate,love,neutral,relief,sadness,surprise,worry
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,1874,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry or resentful all i need do is remind myself that each day sober has been made possible by a fellowship which supports me all the way,1897,1,0,0,0,0,0,0,0,0,0,0,0
i read a story that left me feeling confused frustrated and a little angry,1899,1,0,0,0,0,0,0,0,0,0,0,0
i don t know what to do about it or how to do it almost feeling angry within myself that i can t do something tangible and pragmatic to help my sisters,1904,1,0,0,0,0,0,0,0,0,0,0,0
i cannot in good conscience encourage my young kids read stuff from someone i feel is so vile no matter how good it is,1935,1,0,0,0,0,0,0,0,0,0,0,0
im feeling really quite angry,1960,1,0,0,0,0,0,0,0,0,0,0,0
i know the pain parents feel when an enraged child becomes violent,1995,1,0,0,0,0,0,0,0,0,0,0,0
i was building with angie i m feeling profoundly betrayed and very angry,2020,1,0,0,0,0,0,0,0,0,0,0,0
i can feel this really effecting my attitude toward her i feel bitter and angry,2111,1,0,0,0,0,0,0,0,0,0,0,0
i had a horrible tragedy something that i was terribly ashamed of or something that was causing me great pain or that was making me feel vulnerable i have more than just one or two very trusted people who i know i could call for help,2194,1,0,0,0,0,0,0,0,0,0,0,0
i was incredibly youthful in my employment in which i had been angry stay when i was feeling i had been offended simply because i wasnt the professional decided on,2234,1,0,0,0,0,0,0,0,0,0,0,0
i have swung between feeling resentful that others need me to feeling ashamed and angry that i am not more with it and able to be a better daughter sister friend citizen,2237,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry at him for being so selfish and giving me absolutely nothing to go on,2435,1,0,0,0,0,0,0,0,0,0,0,0
i can feel she still angry with me,2487,1,0,0,0,0,0,0,0,0,0,0,0
i dont like the way i feel when i am angry,2576,1,0,0,0,0,0,0,0,0,0,0,0
im feeling enraged at another persons actions i have to consider what i was thinking about in the moments prior to the incident,2655,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry disgusted,2658,1,0,0,0,0,0,0,0,0,0,0,0
i was playing with friends then i decided to splash some sand into a car which was moving nearby the driver got angry and came to report to my parents,2719,1,0,0,0,0,0,0,0,0,0,0,0
i know i dont live in new york anymore but i feel so outraged that this could happen in my city,2727,1,0,0,0,0,0,0,0,0,0,0,0
i try to feel confident about it but when ever our eyes meet i feel strong like in gym we have the exercise machines and i could only do lbs on average and i always wanted to do,2813,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling angry and jealous and deceived,2819,1,0,0,0,0,0,0,0,0,0,0,0
i feel like i am i the only one out there who is as angry as i am about suffering such loss about stupid cancer about unfairness about what is even though nothing about it is right,2827,1,0,0,0,0,0,0,0,0,0,0,0
i do feel apprehensive before meeting someone new particularly in a group situation but i just sign up for everything i can and hope that i ll have found the courage to do it by the time it comes round and i always have so far,2882,1,0,0,0,0,0,0,0,0,0,0,0
i have begun to feel irrationally resentful and angry towards people,2930,1,0,0,0,0,0,0,0,0,0,0,0
i don t want to feel annoyed resentful or angry at the fact that he s already had the experience of having and raising kids,2957,1,0,0,0,0,0,0,0,0,0,0,0
ive had a rather average career because i decided to work less to earn less no rolex anywhere to be seen but have managed to write and even publish some of the short story collections and novels i have in my mind and on my drafts today i will feel successful,2960,1,0,0,0,0,0,0,0,0,0,0,0
i feel like i can take on the world and even if it says no to me i wont be afraid and will not be discouraged,3003,1,0,0,0,0,0,0,0,0,0,0,0
i think its the case that whether people like anne coulter or ed schultz really feel as outraged as they do their viewers most certainly do feel that kind of outrage and anger about the substance of their collective tirades,3155,1,0,0,0,0,0,0,0,0,0,0,0
i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,3230,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry thinking how much the government has gulped away over money,3272,1,0,0,0,0,0,0,0,0,0,0,0
i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size,3317,1,0,0,0,0,0,0,0,0,0,0,0
i remember feeling outraged to my core when i read a particularly heinous series of articles in the friday times where else if not this paper,3337,1,0,0,0,0,0,0,0,0,0,0,0
i ever feel anymore is when one of us gets angry,3417,1,0,0,0,0,0,0,0,0,0,0,0
i feel so angry that cancer is slowly killing my dad,3452,1,0,0,0,0,0,0,0,0,0,0,0
i found myself feeling so angry,3571,1,0,0,0,0,0,0,0,0,0,0,0
i feel wronged by certain people and my instinct was to get angry at them and stop speaking to them but two wrongs dont make a right i think,3585,1,0,0,0,0,0,0,0,0,0,0,0
i tackle political ideas only when something makes me feel angry and even then it is often personal,3635,1,0,0,0,0,0,0,0,0,0,0,0
i also feel angry and mad and bitter because we nor anyone should have to do it,3771,1,0,0,0,0,0,0,0,0,0,0,0
i have had some very emotional nights of crying feeling unsure and angry,3863,1,0,0,0,0,0,0,0,0,0,0,0
i cannot help but feel outraged to recognize that essentially children in america have no rights at all,3980,1,0,0,0,0,0,0,0,0,0,0,0
i feel very angry but once a simple msg made me blur really blur,4064,1,0,0,0,0,0,0,0,0,0,0,0
im feeling angry i think i strop about ruffling the air and inflating my position and exaggerating the issue,4108,1,0,0,0,0,0,0,0,0,0,0,0
im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage,4316,1,0,0,0,0,0,0,0,0,0,0,0
i feel like i have to preface this post w a disclaimer of some sort before i have an enraged peta after me or something equally as horrible,4381,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry man named muaz,4399,1,0,0,0,0,0,0,0,0,0,0,0
i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,4416,1,0,0,0,0,0,0,0,0,0,0,0
i have to confess to feeling quite angry when i read some of the negative reviews of uses for boys some of which are basically victim blaming and slut shaming,4570,1,0,0,0,0,0,0,0,0,0,0,0
i went ahead and did the shooting afterwards a few of the guys asked me to go out for drinks and i agreed i knew i should have rang you tried to work things out with you but i was angry and feeling stubborn,4640,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry alone unwanted vexed irritable all the time,4684,1,0,0,0,0,0,0,0,0,0,0,0
i feel helpless about not being able to help him in feeling better but do my best to encourage him and think positively as mom is doing,4715,1,0,0,0,0,0,0,0,0,0,0,0
i start feeling angry i need to actually stop and figure out what im really feeling so i can deal with life in a more balanced way,4797,1,0,0,0,0,0,0,0,0,0,0,0
im feeling so angry because that was just wasted work from her side,4800,1,0,0,0,0,0,0,0,0,0,0,0
i feel outraged that my life is so easy so blessed,4883,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling so angry so upset that i just want to run away,4927,1,0,0,0,0,0,0,0,0,0,0,0
i feel shaken or angry that my husband keeps lying to me and is a sexaholic i often start to feel mad at god,4955,1,0,0,0,0,0,0,0,0,0,0,0
my sister once stole my mothers money and made her very angry after this my mother would beat her up for unreasonable reasons one day my sister lent her book to a friend without telling my mother about it when my mother learnt this she beat her up and even threatened her with a pair of scissors,5049,1,0,0,0,0,0,0,0,0,0,0,0
i didnt feel angry i didnt feel bitter i felt,5053,1,0,0,0,0,0,0,0,0,0,0,0
i feel it is my solemn duty to share this divine knowledge of mine in order that others may benefit from it s truth and beauty and render their world just a tad closer to thearchitecturality that utopian perfectly set garage society to which we all strive,5116,1,0,0,0,0,0,0,0,0,0,0,0
i asked feeling outraged,5158,1,0,0,0,0,0,0,0,0,0,0,0
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,5361,1,0,0,0,0,0,0,0,0,0,0,0
i feel almost outraged that such a crap day should fall on my most favourite of days,5362,1,0,0,0,0,0,0,0,0,0,0,0
i feel anybody got angry to me in an awkward silence,5389,1,0,0,0,0,0,0,0,0,0,0,0
i came out freaked on the brink of tears feeling angry confused ridiculous small,5500,1,0,0,0,0,0,0,0,0,0,0,0
i want to not feel angry because i haven t the right to feel that way,5573,1,0,0,0,0,0,0,0,0,0,0,0
i feel that the life issue and posts like this one will just be met with violent and angry rhetoric,5614,1,0,0,0,0,0,0,0,0,0,0,0
i was not wrong to feel angry but i was wrong for what i said,5696,1,0,0,0,0,0,0,0,0,0,0,0
i was not going to be able to sleep until i knew how it ended and mostly because of another thing which i am not even going to talk about here because it makes me angry all over again and also because i feel horribly neurotic and immature getting upset about it and so we will gloss over that bit,5710,1,0,0,0,0,0,0,0,0,0,0,0
i often feel very angry seeing these things around,5762,1,0,0,0,0,0,0,0,0,0,0,0
i see and feel and who knew i could get so angry in putting a key in the lock i want to punch someone s face every single time i put my key in the lock i know that i must keep on going,5809,1,0,0,0,0,0,0,0,0,0,0,0
ive been angry and under that anger hurt are not gone but they feel resolved,5899,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry because i have led myself to leading people to believe i couldnt do this,5928,1,0,0,0,0,0,0,0,0,0,0,0
i left feeling annoyed and angry thinking that i was the center of some stupid joke,5933,1,0,0,0,0,0,0,0,0,0,0,0
i feel wronged by certain people and my instinct was to get angry at them and stop speaking to them but two wrongs dont make a right i think,6008,1,0,0,0,0,0,0,0,0,0,0,0
i feel someone or something poses a threat to her and that i dont get angry with her,6073,1,0,0,0,0,0,0,0,0,0,0,0
i feel honoured to have this opportunity to work with different types of people and to experience their skills and have their encouragement,6115,1,0,0,0,0,0,0,0,0,0,0,0
i think i just remembered why i ve never bothered to watch election coverage i m left hoping my guy won but feeling completely helpless while all of these overly made up buffoons pretend to know what they re talking about,6155,1,0,0,0,0,0,0,0,0,0,0,0
i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,6191,1,0,0,0,0,0,0,0,0,0,0,0
i dont sense that i am feeling enraged until i throw something but i am getting better at recognizing the signs,6208,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry i feel angry see me frown see me frown,6243,1,0,0,0,0,0,0,0,0,0,0,0
i am writing this so when addy gets the chance to be somebodys momma and she feels discouraged she will hold out and write this message to her own baby,6266,1,0,0,0,0,0,0,0,0,0,0,0
i feel betrayed i fell dismayed yet somehow i dont feel the rage,6287,1,0,0,0,0,0,0,0,0,0,0,0
i know she brought the subject up with good intentions in mind and while none of it changed my mind about homeschooling nothing can a few of the assumptions and other things said had me feeling offended and angry for a time afterward,6362,1,0,0,0,0,0,0,0,0,0,0,0
i have been mostly positive but i do have days where i feel discouraged from the bad side effects of the treatment,6453,1,0,0,0,0,0,0,0,0,0,0,0
i feel very humiliated angry at myself on those days,6524,1,0,0,0,0,0,0,0,0,0,0,0
i feel intensely resentful of them and angry with myself i am permitting a part of myself to be stolen,6569,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling discouraged when it came to comic work so i ended up trying to work in the sketchbook instead,6604,1,0,0,0,0,0,0,0,0,0,0,0
i am feeling absolutely enraged right now as if the bathroom incident happened this morning when it happened over six years ago,6637,1,0,0,0,0,0,0,0,0,0,0,0
i woke up i was missing brody very much and had been feeling discouraged about my house hunt,6710,1,0,0,0,0,0,0,0,0,0,0,0
i thought id alwayz feel held back dissatisfied angry,6720,1,0,0,0,0,0,0,0,0,0,0,0
i feel dull and gross which encourages me to drink more coffee,6737,1,0,0,0,0,0,0,0,0,0,0,0
i felt just as you described and was feeling really discouraged,6751,1,0,0,0,0,0,0,0,0,0,0,0
im angry that we were born so far apart because i feel like i miss out on so much but a lot of the times im thankful because we have such a great relationship and i get to appreciate it so much more,6834,1,0,0,0,0,0,0,0,0,0,0,0
i do feel angry that its difficult to pick through the bullshit,6887,1,0,0,0,0,0,0,0,0,0,0,0
i can see in myself a lot of the older son i m angry at god the father not giving me what i want even though i feel that i ve been pretty faithful to him though i ve screwed up plenty,6927,1,0,0,0,0,0,0,0,0,0,0,0
i feel very stressed and angry with my children and i cried for hours yesterday,6997,1,0,0,0,0,0,0,0,0,0,0,0
i began to feel angry with him,7039,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,7079,1,0,0,0,0,0,0,0,0,0,0,0
i could feel myself getting agitated little things i wouldn t notice any other time where starting to give me the sensation of impending rage,7203,1,0,0,0,0,0,0,0,0,0,0,0
i can stop feeling discouraged or full of self pity when another wave crashes down on us,7228,1,0,0,0,0,0,0,0,0,0,0,0
i feel it is very gentle but then flying carpet the same way as if to be angry you like to throw to i quickly grasp the handrail gradually it gently up,7248,1,0,0,0,0,0,0,0,0,0,0,0
id feel a bit discouraged languish in my pile of forgotten wips until the example of my failure was too much i wouldnt open a word document for ages,7302,1,0,0,0,0,0,0,0,0,0,0,0
i realized that i stay angry because it makes me feel strong,7412,1,0,0,0,0,0,0,0,0,0,0,0
i try to unpack how i feel about what s going on at work he becomes angry too which doesn t help,7475,1,0,0,0,0,0,0,0,0,0,0,0
i don t feel outraged i feel a little sorry her,7515,1,0,0,0,0,0,0,0,0,0,0,0
i feel so enraged at times,7534,1,0,0,0,0,0,0,0,0,0,0,0
i am trying to encourage is an active decision amongst those who feel a need to have a rock to be faithful to,7558,1,0,0,0,0,0,0,0,0,0,0,0
i sometimes feel angry or annoyed with my partner without knowing why,7637,1,0,0,0,0,0,0,0,0,0,0,0
i feel beaten and discouraged,7724,1,0,0,0,0,0,0,0,0,0,0,0
i guess i feel a little to socially repressed angry and emo anytime i write in here,7810,1,0,0,0,0,0,0,0,0,0,0,0
i will remove the skin in front and you will still have a wide midsection and saggy skin everywhere except the front yep i guess i will i said feeling offended and discouraged,7823,1,0,0,0,0,0,0,0,0,0,0,0
i was in her shoes i d feel devastated and angry that cancer had happened to me,7934,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling rather discouraged until i remembered i,7947,1,0,0,0,0,0,0,0,0,0,0,0
im feel grouchy and angry and that is not a good combination and the being sick thing just makes it x worse,8008,1,0,0,0,0,0,0,0,0,0,0,0
i am feeling discouraged or doubting my life choices,8052,1,0,0,0,0,0,0,0,0,0,0,0
my mother and my sister carried on picking at me all day long for no reason at all and i ended up getting angry,8154,1,0,0,0,0,0,0,0,0,0,0,0
i can feel resentful and angry and have trash in the kitchen or i can feel resentful and angry and take the trash out myself,8174,1,0,0,0,0,0,0,0,0,0,0,0
i feel as though it drains me faster than simply being discouraged,8188,1,0,0,0,0,0,0,0,0,0,0,0
i no longer feel angry in the name of opposite to emotion mama,8327,1,0,0,0,0,0,0,0,0,0,0,0
i am in recovery feeling less groggy and ready for my beverage and snack a href http,8346,1,0,0,0,0,0,0,0,0,0,0,0
i am i felt the blood rushing and now im feeling angry and really annoyed and all the emotions mixed and went mumbo jumbo like a roller coaster ride,8402,1,0,0,0,0,0,0,0,0,0,0,0
i admit to comparing and having heart palpitations when i assessed her math s standard at being lower than average and feeling smug when she began reading year old books at,8574,1,0,0,0,0,0,0,0,0,0,0,0
i did not become angry nor did i feel humiliated a common shame based reaction of mine,8623,1,0,0,0,0,0,0,0,0,0,0,0
i want to look ahead to those good times but right now my focus is on the here and now and i am feeling discouraged,8947,1,0,0,0,0,0,0,0,0,0,0,0
im pushed around i feel resentful and angry and thats why i yell,9007,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry i was about to say,9161,1,0,0,0,0,0,0,0,0,0,0,0
i remember feeling angry at that too,9251,1,0,0,0,0,0,0,0,0,0,0,0
i have been the person that has needed encouragement and uplifting and i just feel so needy,9318,1,0,0,0,0,0,0,0,0,0,0,0
im feeling quite disheartened and a little angry at certain people right now,9402,1,0,0,0,0,0,0,0,0,0,0,0
i always feel angry,9431,1,0,0,0,0,0,0,0,0,0,0,0
i arrived they were talking about what we can do when we feel discouraged,9642,1,0,0,0,0,0,0,0,0,0,0,0
i feel discouraged in every aspect of my life,9751,1,0,0,0,0,0,0,0,0,0,0,0
im feeling angry today at my stupid moods,9773,1,0,0,0,0,0,0,0,0,0,0,0
i shouldn t be feeling angry i shouldn t care that he is in town,9933,1,0,0,0,0,0,0,0,0,0,0,0
i still feel very grossed out bitchy guilty and angry,10048,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling pretty discouraged about the state of my thankfulness this am and then i overturned this encouraging evidence of grace in my heart i am truly and deeply thankful for hard things in my life,10064,1,0,0,0,0,0,0,0,0,0,0,0
i feel so stupid feeling such rage within me whenever i see those girls whom he chose to go holiday with,10087,1,0,0,0,0,0,0,0,0,0,0,0
i went to bed last night feeling overwhelmed and discouraged by life and woke up this morning feeling blah,10190,1,0,0,0,0,0,0,0,0,0,0,0
i understand their anger at feeling duped and am just as outraged by this brazen incident as they are the backlash their reactions are having on indie and small press authors is significant,10217,1,0,0,0,0,0,0,0,0,0,0,0
i had some surprisingly good workouts at the start had a few moments of feeling completely discouraged again when the fast guys were leaving me in their dust then got my s t back together and finished the camp with some great workouts on the hardest and longest days,10239,1,0,0,0,0,0,0,0,0,0,0,0
im feeling angry today,10260,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling a little bummed and discouraged and overwhelmed so ive been living with unattractive labels ever since strangely no one else in the family seems to mind,10281,1,0,0,0,0,0,0,0,0,0,0,0
i drank a double americano from cafe strada and now i feel enraged at the world,10315,1,0,0,0,0,0,0,0,0,0,0,0
ive alternated between feeling relieved feeling angry wanting to cry and desperately wanting to move on,10332,1,0,0,0,0,0,0,0,0,0,0,0
i wasnt feeling dazed in disbelief i was certainly angry,10401,1,0,0,0,0,0,0,0,0,0,0,0
i read the stereotype that young people are complacent and not interested in defending our rights because we re too busy going to yoga and checking our facebook all at once i feel devastated angry and defeated,10501,1,0,0,0,0,0,0,0,0,0,0,0
i had had some personal issues and events that had occurred and this left me feeling totally pissed off fed up and angry with the world,10624,1,0,0,0,0,0,0,0,0,0,0,0
i am feeling so discouraged today,10627,1,0,0,0,0,0,0,0,0,0,0,0
i started to feel angry,10682,1,0,0,0,0,0,0,0,0,0,0,0
i feel enraged and weak but i have no reasonable grounds to be,10720,1,0,0,0,0,0,0,0,0,0,0,0
i have been so angry that i have spent so much time struggling with being sick and feeling helpless,10827,1,0,0,0,0,0,0,0,0,0,0,0
i feel that someone is discouraged i have to encourage them,10902,1,0,0,0,0,0,0,0,0,0,0,0
i did struggle with these issues i feel like i would start to feel discouraged about how competent of a helper i would be,10904,1,0,0,0,0,0,0,0,0,0,0,0
i felt angry when my only pair of trousers was stolen and could not be able to find out who the thief was or anyone who knew about the story,10908,1,0,0,0,0,0,0,0,0,0,0,0
i did not encourage him which allowed me to feel innocent and virtuous,10953,1,0,0,0,0,0,0,0,0,0,0,0
i did give quite a bit of thought to yesterdays topic fear but ended up just feeling discouraged at the realization that motherhood and too many emergency room visits for my dad not my children,11069,1,0,0,0,0,0,0,0,0,0,0,0
i don t feel enraged as i did before,11146,1,0,0,0,0,0,0,0,0,0,0,0
i was misquoted in an interview and it made me feel really angry and frustrated,11206,1,0,0,0,0,0,0,0,0,0,0,0
ive done really well so far in terms of actual pounds but am feeling discouraged theres not a more visible result,11279,1,0,0,0,0,0,0,0,0,0,0,0
this situation keeps occurring when my little sister disagrees with me or viceversa we have very similar temperaments and i always end up feeling angry at her and myself for fighting so much over unimportant trivial matters,11359,1,0,0,0,0,0,0,0,0,0,0,0
i feel almost angry about it bored frustrated useless,11451,1,0,0,0,0,0,0,0,0,0,0,0
i want a relationship a healthy relationship that challenges me to be better than i am encourages me to take risks a relationship where i not only feel respected but cherished and safe,11469,1,0,0,0,0,0,0,0,0,0,0,0
i have trouble asserting myself and feel abused and angry much of the time,11609,1,0,0,0,0,0,0,0,0,0,0,0
im feeling enraged at another persons actions i have to consider what i was thinking about in the moments prior to the incident,11623,1,0,0,0,0,0,0,0,0,0,0,0
i feel angry each time i ask you once and then again,11671,1,0,0,0,0,0,0,0,0,0,0,0
i was laying in my bed the other night feeling angry,11676,1,0,0,0,0,0,0,0,0,0,0,0
i feel as though she s the patron goddess of the divine rage of women and i certainly have a lot of that,11709,1,0,0,0,0,0,0,0,0,0,0,0
i feel brave when i slide between the car and the garage wall and hope just hope i don t get stuck as i am taking something out to the garage refrigerator,11751,1,0,0,0,0,0,0,0,0,0,0,0
i read a story and feel the need to post an angry comment at a fellow poster or at the news media for posting a worthless story with no significance to the local area,11773,1,0,0,0,0,0,0,0,0,0,0,0
im feeling discouraged and totally uninspired by the project just voicing my honesty,11826,1,0,0,0,0,0,0,0,0,0,0,0
i really am confused about how i feel here they are less violent less angry with the compositon opened up and the colours brighter but the article suspects that politics are a bit more leached,11930,1,0,0,0,0,0,0,0,0,0,0,0
i walked back to my house feeling discouraged and took a nap,11955,1,0,0,0,0,0,0,0,0,0,0,0
i asked someone to bring some present to my father and found out that he is not a reliable person i was afraid if my father would not get the presents he would be angry with me,12136,1,0,0,0,0,0,0,0,0,0,0,0
i feel thankful for the encouragement and surety you give me,12163,1,0,0,0,0,0,0,0,0,0,0,0
i could pick myself up enough to feel angry with you but now every time i think about you i m overcome by a really visceral desire to slap you very hard,12212,1,0,0,0,0,0,0,0,0,0,0,0
i feel like i have more energy and i am still angry bitter but sometimes i forget about it for a bit and am actually in a good mood until i remember i can t run again,12214,1,0,0,0,0,0,0,0,0,0,0,0
i am not giving up but i am feeling discouraged,12228,1,0,0,0,0,0,0,0,0,0,0,0
im feeling a bit discouraged at the moment,12312,1,0,0,0,0,0,0,0,0,0,0,0
i can say to myself i m really angry right now i actually feel less angry overall,12354,1,0,0,0,0,0,0,0,0,0,0,0
i feel that harjo would have convinced me to her side were she able to successfully repudiate scientists in the fields of cultural anthropology or archaeology these scientists would probably be outraged to discover said bones buried in the ground forever,12398,1,0,0,0,0,0,0,0,0,0,0,0
i did not feel angry with brazilian players,12464,1,0,0,0,0,0,0,0,0,0,0,0
i was in the library of medical psychology and walked into the wrong direction a man who came out of a room threated me very denigrating and i became very angry in a resisting manner,12477,1,0,0,0,0,0,0,0,0,0,0,0
i would ve been extremely angry or feeling lonely,12528,1,0,0,0,0,0,0,0,0,0,0,0
i have been feeling very discouraged and broken about all of this and i have broken down to many times over this,12651,1,0,0,0,0,0,0,0,0,0,0,0
i imagine that so many of you will feel angry that i am not feeling grateful for life right now,12714,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling completely shitty thanks to the chemo side effects therefore i ended up in a rage,12741,1,0,0,0,0,0,0,0,0,0,0,0
i feel discouraged or when i question why im doing what i am just seeing her smile reminds me why i am a music educator,12809,1,0,0,0,0,0,0,0,0,0,0,0
i feel humiliated and discouraged,12856,1,0,0,0,0,0,0,0,0,0,0,0
i write this i feel unsure maybe i shouldnt be angry but i need to write this down because for me writing things out is therapeutic,12896,1,0,0,0,0,0,0,0,0,0,0,0
i listen to tracks where the sound and or performers are angry excessively distorted or boisterous my spirit somehow feels agitated,13131,1,0,0,0,0,0,0,0,0,0,0,0
i think part of it is laziness at the effort of writing so many cover letters and fulfilling adult responsibilities but an even bigger part of it is feeling doubtful and discouraged at so many rejections and unsure of my capabilities,13421,1,0,0,0,0,0,0,0,0,0,0,0
i take the time to wonder about those things it gets awfully hard to feel angry and cynical towards them,13430,1,0,0,0,0,0,0,0,0,0,0,0
i was speaking to death but then feeling enraged,13471,1,0,0,0,0,0,0,0,0,0,0,0
