Descrption,Test_ID,Functionality_Test_Case,User_Interface_Test_Case,Performance_Test_Case,Integration_Test_Case,Usability_Test_Case,Database_Test_Case,Security_Test_Case,User_Acceptance_Test_Case
The user should not be able to type in drop-down select lists.,40,0,1,0,0,0,0,0,0
The user should be able to submit the form again by correcting the errors.,41,0,1,0,0,1,0,0,1
Check if proper field labels are used in error messages.,42,0,1,0,0,0,0,0,0
Drop-down field values should be displayed in defined sort order.,43,0,1,0,0,0,0,0,0
Tab and Shift+Tab order should work properly.,44,0,1,0,0,0,0,0,0
Default radio options should be pre-selected on the page load.,45,0,1,0,0,0,0,0,0
Field-specific and page-level help messages should be available.,46,0,1,0,0,1,0,0,0
Check if the correct fields are highlighted in case of errors.,47,0,1,0,0,0,0,0,0
Check if the drop-down list options are readable and not truncated due to field size limits.,48,0,1,0,0,0,0,0,0
All buttons on a page should be accessible by keyboard shortcuts and the user should be able to perform all operations using a keyboard.,49,0,1,0,0,1,0,0,0
Check all pages for broken images.,50,0,1,0,0,0,0,0,0
Check all pages for broken links.,51,0,1,0,0,0,0,0,0
All pages should have a title.,52,0,1,0,0,0,0,0,0
Confirmation messages should be displayed before performing any update or delete operation.,53,1,0,0,0,1,0,0,1
Hourglass should be displayed when the application is busy.,54,0,1,1,0,0,0,0,0
Page text should be left-justified.,55,0,1,0,0,0,0,0,0
The user should be able to select only one radio option and any combination for checkboxes.,56,1,0,0,0,1,0,0,1
The user should be able to filter results using all parameters on the page.,57,1,0,0,0,1,0,0,1
Refine search functionality should load the search page with all user-selected search parameters.,58,1,0,0,0,0,0,0,0
" When there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.",59,1,0,0,0,1,0,0,0
"When at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.",60,1,0,0,0,0,0,0,0
Proper validation messages should be displayed for all invalid values for filter criteria.,61,1,0,0,0,1,0,0,0
Page loading symbol should be displayed when it’s taking more than default time to load the result page.,62,0,1,1,0,0,0,0,0
Check if all the search parameters are used to fetch data shown on the result grid.,63,1,0,0,0,0,0,0,0
The total number of results should be displayed in the result grid.,64,1,0,0,0,0,0,0,0
Search criteria used for searching should be displayed in the result grid.,65,1,0,0,0,0,0,0,0
Result grid values should be sorted by default column.,66,1,0,0,0,0,0,0,0
Sorted columns should be displayed with a sort icon.,67,1,0,0,0,0,0,0,0
Result grids should include all the specified columns with correct values.,68,1,0,0,0,0,0,0,0
Ascending and descending sorting functionality should work for columns supported by data sorting.,69,1,0,0,0,0,0,0,0
Result grids should be displayed with proper column and row spacing.,70,1,0,0,0,0,0,0,0
Pagination should be enabled when there are more results than the default result count per page.,71,1,0,0,0,0,0,0,0
"Check for Next, Previous, First and Last page pagination functionality.",72,1,0,0,0,1,0,0,0
Duplicate records should not be displayed in the result grid.,73,1,0,0,0,0,0,0,0
Check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,74,1,0,0,0,0,0,0,0
Check the data for dynamic columns (columns whose values are calculated dynamically based on the other column values).,75,1,0,0,0,0,0,0,0
For result grids showing reports check ‘Totals’ row and verify the total for every column.,76,1,0,0,0,0,0,0,0
For result grids showing reports check ‘Totals’ row data when pagination is enabled and the user gets navigated to the next page.,77,1,0,0,0,0,0,0,0
Check if proper symbols are used for displaying column values e.g. % symbol should be displayed for percentage calculation.,78,1,0,0,0,0,0,0,0
Check result grid data to know if the date range is enabled.,79,1,0,0,0,0,0,0,0
Check if the default window size is correct.,80,0,1,0,0,0,0,0,0
Check if the child window size is correct.,81,0,1,0,0,0,0,0,0
"Check if there is any field on the page with default focus (in general, the focus should be set on the first input field of the screen).",82,0,1,0,0,1,0,0,0
Check if child windows are getting closed on closing parent/opener window.,83,0,1,0,0,0,0,0,0
"If the child window is opened, the user should not be able to use or update any field in the background or parent window",84,1,0,0,0,1,0,0,0
"Check window minimize, maximize, and close functionality.",85,0,1,0,0,1,0,0,0
Check if the window is re-sizable.,86,0,1,0,0,1,0,0,0
Check scroll bar functionality for parent and child windows.,87,0,1,0,0,1,0,0,0
Check cancel button functionality for the child window.,88,1,0,0,0,1,0,0,0
Check if correct data is getting saved in the database upon a successful page submit.,89,1,0,0,0,0,1,1,0
Check values for columns that are not accepting null values.,90,1,0,0,0,0,1,0,0
Data should be stored in single or multiple tables based on the design.,91,0,0,0,1,0,1,0,0
Index names should be given as per the standards e.g. IND_<Tablename>_<ColumnName>,92,0,0,0,0,0,1,0,0
Tables should have a primary key column.,93,0,0,0,0,0,1,0,0
"Table columns should have description information available (except for audit columns like created date, created by, etc.)",94,0,0,0,0,0,1,0,0
For every database add/update operation log should be added.,95,0,0,0,0,0,1,0,0
Required table indexes should be created.,96,0,0,0,0,0,1,0,0
Check if data is committed to the database only when the operation is successfully completed.,97,1,0,0,0,0,1,1,0
Data should be rolled back in case of failed transactions.,98,1,0,0,0,0,1,1,0
"Database name should be given as per the application type i.e. test, UAT, sandbox, live (though this is not a standard it is helpful for database maintenance)",99,0,0,0,0,0,1,0,0
Database logical names should be given according to the database name (again this is not standard but helpful for DB maintenance).,100,0,0,0,0,0,1,0,0
Stored procedures should not be named with a prefix “sp_”,101,1,0,0,0,0,1,0,0
"Check if values for table audit columns (like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc.) are populated properly.",102,1,0,0,0,0,1,0,0
Check if input data is not truncated while saving. Field length shown to the user on the page and in database schema should be the same.,103,1,0,0,0,0,1,0,0
"Check numeric fields with minimum, maximum, and float values.",104,1,0,0,0,0,1,0,0
Check numeric fields with negative values (for both acceptance and non-acceptance).,105,1,0,0,0,0,1,0,0
Check if the radio button and drop-down list options are saved correctly in the database.,106,1,0,0,1,0,1,0,0
Check if the database fields are designed with the correct data type and data length.,107,1,0,0,0,0,1,0,0
are implemented correctly.,108,1,0,0,0,0,0,0,0
Test stored procedures and triggers with sample input data.,109,1,0,0,1,0,1,0,0
Input field leading and trailing spaces should be truncated before committing data to the database.,110,1,0,0,0,0,1,0,0
Null values should not be allowed for the Primary key column.,111,1,0,0,0,0,1,0,0
Check for uploaded image path.,112,1,1,0,0,1,0,0,1
Check image upload and change functionality.,113,1,1,0,0,1,0,0,1
"Check image upload functionality with image files of different extensions (For Example, JPEG, PNG, BMP, etc.)",114,1,1,0,0,1,0,0,0
Check image upload functionality with images having space or any other allowed special character in the file name.,115,1,1,0,0,1,0,0,0
Check duplicate name image upload.,116,1,1,0,0,0,0,0,0
The Proper error message should be displayed.,117,0,0,0,0,0,0,0,0
A proper error message should be displayed.,118,0,0,0,0,0,0,0,0
Check if images of specified height and width (if defined) are accepted otherwise rejected.,119,1,0,0,0,0,0,0,0
The image upload progress bar should appear for large size images.,120,1,1,1,0,0,0,0,0
Check if the cancel button functionality is working in between the upload process.,121,1,1,0,0,1,0,0,0
Check if file selection dialog shows only supported files listed.,122,1,1,0,0,1,0,0,0
Check multiple images upload functionality.,123,1,1,0,1,1,0,0,0
Image quality should not be changed after upload.,124,1,1,0,0,1,0,0,0
Check if the user is able to use/view the uploaded images.,125,1,1,0,0,1,0,0,1
The email template should use standard CSS for all emails.,126,1,0,0,0,1,0,0,0
Email addresses should be validated before sending emails.,127,1,0,0,0,1,0,1,0
Special characters in the email body template should be handled properly.,128,1,0,0,0,1,0,0,0
"Language-specific characters (For Example, Russian, Chinese or German language characters) should be handled properly in the email body template.",129,1,0,0,0,1,0,0,0
Email subject should not be blank.,130,1,0,0,0,1,0,0,1
Placeholder fields used in the email template should be replaced with actual values e.g. {Firstname} {Lastname} should be replaced with an individual’s first and last name properly for all the recipients.,131,1,0,0,1,1,0,0,1
If reports with dynamic values are included in the email body and report data should be calculated correctly.,132,1,0,0,1,1,0,0,0
Email sender name should not be blank.,133,1,0,0,0,1,0,0,0
"Emails should be checked in different email clients like Outlook, Gmail, Hotmail, Yahoo! mail, etc.",134,1,0,0,0,0,0,0,0
"Check to send email functionality using TO, CC and BCC fields.",135,1,0,0,0,1,0,0,1
Check plain text emails.,136,1,0,0,0,1,0,0,0
Check HTML format emails.,137,1,0,0,0,1,0,0,1
"Check email header and footer for company logo, privacy policy, and other links.",138,1,0,0,0,1,0,0,1
Check emails with attachments.,139,1,0,0,1,1,0,0,0
"Check to send email functionality to single, multiple or distribution list recipients.",140,1,0,0,1,1,0,0,0
Check if a reply to the email address is correct.,141,1,0,0,0,1,0,0,0
Check to send the high volume of emails.,142,1,0,1,0,0,0,0,0
 The file should get exported in the proper file extension.,143,1,0,0,0,0,0,0,0
"The file name for the exported Excel file should be as per the standards, For Example, if the file name is using the timestamp, it should get replaced properly with an actual timestamp at the time of exporting the file.",144,1,0,0,0,0,0,0,0
Check for date format if exported Excel file contains the date columns.,145,1,0,0,0,0,0,0,0
Check number formatting for numeric or currency values. Formatting should be the same as shown on the page.,146,1,0,0,0,0,0,0,0
The exported file should have columns with proper column names.,147,1,0,0,0,0,0,0,0
Default page sorting should be carried in the exported file as well.,148,1,0,0,0,0,0,0,0
"Excel file data should be formatted properly with header and footer text, date, page numbers, etc. values for all pages.",149,1,0,0,0,0,0,0,0
Check if the data displayed on a page and exported Excel file is the same.,150,1,0,0,0,1,0,0,1
Check export functionality when pagination is enabled.,151,1,0,1,0,1,0,0,0
"Check if the export button is showing proper icon according to the exported file type, For Example, Excel file icon for xls files",152,1,0,0,0,1,0,0,0
Check export functionality for files with very large size.,153,1,0,0,0,1,0,0,0
Check export functionality for pages containing special characters. Check if these special characters are exported properly in the Excel file.,154,1,0,0,0,1,0,0,0
Check if the page load time is within the acceptable range.,155,0,0,1,0,0,0,0,0
Check the page load on slow connections.,156,0,0,1,0,0,0,0,0
"Check the response time for any action under a light, normal, moderate, and heavy load conditions.",157,0,0,1,0,0,0,0,0
Check the performance of database stored procedures and triggers.,158,0,0,1,1,0,1,0,0
Check the database query execution time.,159,0,0,1,0,0,1,0,0
Check for load testing of the application.,160,0,0,1,0,0,0,0,0
Check for the Stress testing of the application.,161,0,0,1,0,0,0,0,0
Check CPU and memory usage under peak load conditions.,162,0,0,1,0,0,0,0,0
Check for SQL injection attacks.,163,0,0,0,0,0,0,1,0
Secure pages should use the HTTPS protocol.,164,0,0,0,0,0,0,1,0
The error page should be displayed for this.,165,0,0,0,0,0,0,0,0
Escape special characters in the input.,166,0,0,0,0,0,0,1,0
Error messages should not reveal any sensitive information.,167,0,0,0,0,0,0,1,0
All credentials should be transferred over an encrypted channel.,168,1,0,0,0,0,0,1,0
Test password security and password policy enforcement.,169,0,0,0,0,0,0,1,0
Check application logout functionality.,170,1,0,0,0,0,0,0,0
Check for Brute Force Attacks.,171,0,0,0,0,0,0,1,0
Cookie information should be stored in encrypted format only.,172,0,0,0,0,0,0,1,0
Check session cookie duration and session termination after timeout or logout.,173,1,0,0,0,0,0,0,0
Session tokens should be transmitted over a secured channel.,174,0,0,0,0,0,0,1,0
The password should not be stored in cookies.,175,0,0,0,0,0,0,1,0
Test for Denial of Service attacks.,176,0,0,0,0,0,0,1,0
Test for memory leakage.,177,0,0,1,0,0,0,0,0
Test unauthorized application access by manipulating variable values in the browser address bar.,178,0,0,0,0,0,0,1,0
Test file extension handing so that exe files are not uploaded and executed on the server.,179,1,0,0,0,0,0,0,0
Sensitive fields like passwords and credit card information should not have to autocomplete enabled.,180,0,0,0,0,0,0,1,0
File upload functionality should use file type restrictions and also anti-virus for scanning uploaded files.,181,1,0,0,0,0,0,0,0
Check if directory listing is prohibited.,182,0,0,0,0,0,0,1,0
Passwords and other sensitive fields should be masked while typing.,183,1,0,0,0,0,0,0,0
Check if forgot password functionality is secured with features like temporary password expiry after specified hours and security question is asked before changing or requesting a new password.,184,1,0,0,0,0,0,0,0
Verify CAPTCHA functionality.,185,1,0,0,0,1,0,0,0
Check if important events are logged in log files.,186,0,0,0,0,1,0,1,0
Check if access privileges are implemented correctly.,187,0,0,0,0,0,1,1,0
environment to be production,188,0,0,0,0,0,0,0,1
response should be okay to process,189,1,0,1,1,0,0,0,0
response must be valid and have a body,190,1,0,1,1,0,0,0,0
Verify that the login function authenticates users correctly,191,1,0,0,0,0,1,1,0
Ensure that the application loads correctly on various screen sizes,192,0,1,0,0,1,0,0,0
Test the responsiveness of the application under high traffic,193,0,0,1,0,0,0,0,0
Check the integration of the payment system with the main application,194,0,0,0,1,0,0,0,0
Validate that tooltips are informative and visible on hover,195,0,1,0,0,1,0,0,0
Confirm that all mandatory fields on a form trigger validation messages when left empty,196,1,1,0,0,0,0,0,0
Ensure that database transactions are rolled back on failed operations,197,0,0,0,0,0,1,1,0
Verify that user sessions expire after a period of inactivity for security,198,0,0,0,0,1,0,1,0
Test that the search function sorts results accurately when using different criteria,199,1,0,1,0,0,0,0,0
Check that error messages are displayed in a user-friendly manner and do not expose sensitive information,200,0,1,0,0,1,0,1,0
Ensure that the application’s API handles invalid input gracefully without crashing,201,1,0,0,0,0,0,1,0
Confirm that the application supports multiple languages and switches correctly based on user preference,202,1,0,0,0,1,0,0,0
Validate that email notifications are sent out promptly after a user registers,203,1,0,1,0,0,0,0,0
Verify that file uploads are restricted by file type for security reasons,204,0,0,0,0,0,0,1,0
Test that users can successfully navigate through the application’s main features using only a keyboard,205,0,0,0,0,1,0,0,1
Check that the application logs out users after three unsuccessful login attempts,206,0,0,0,0,0,0,1,0
Ensure that the application’s main page is optimized for fast loading times,207,0,0,1,0,0,0,0,1
Verify that the user’s password is stored securely using industry-standard encryption,208,0,0,0,0,0,1,1,0
Test that users can recover their account through a multi-factor authentication process,209,1,0,0,0,0,0,1,0
Confirm that the application displays a confirmation dialog before a user performs a delete action,210,1,0,0,0,1,0,0,0
Validate that the application maintains a consistent layout and styling across different browsers,211,0,1,0,0,0,0,0,0
Ensure that database backups are performed regularly without data loss,212,0,0,0,0,0,1,0,0
Test the application’s performance on low-end devices to ensure accessibility,213,0,0,1,0,1,0,0,0
Verify that confidential data is hidden or masked in user-facing screens,214,0,0,0,0,1,0,1,0
Check for the presence of an accessible and user-friendly help section within the application,215,0,0,0,0,1,0,0,1
Ensure that third-party plugins are integrated without causing any disruptions,216,0,0,0,1,0,0,1,0
Test that the application’s shopping cart updates correctly when items are added or removed,217,1,1,0,0,0,0,0,0
Verify that form data is validated both on the client-side and server-side,218,1,0,0,0,0,0,1,0
Check that the application’s reporting feature generates reports accurately and efficiently,219,1,0,1,0,0,0,0,0
Ensure that the application’s color scheme adheres to WCAG guidelines for color contrast,220,0,0,0,0,1,0,0,1
Confirm that cached data is refreshed after an update action ,221,1,0,0,0,0,1,0,0
Test that pagination controls are functioning on large data sets ,222,0,1,1,0,0,0,0,0
Ensure that bulk uploads do not duplicate records ,223,1,0,0,0,0,1,0,0
Validate that all hyperlinks direct to the correct pages ,224,0,1,0,0,1,0,0,0
Check that user session data is stored securely ,225,0,0,0,0,0,0,1,0
Confirm that all financial calculations are rounded correctly ,226,1,0,0,0,0,0,0,0
Test that timeout features work correctly for inactivity ,227,0,0,0,0,1,0,1,0
Ensure that the application's help documentation is up to date ,228,0,0,0,0,1,0,0,0
Verify that data input fields prohibit script injection ,229,0,0,0,0,0,0,1,0
Check that all images load correctly on different devices ,230,0,1,0,0,1,0,0,0
Confirm that all scheduled tasks execute at their set times ,231,1,0,0,0,0,0,0,0
Test that the application handles leap years correctly ,232,1,0,0,0,0,0,0,0
Ensure that notifications are sent to users upon completion of background tasks ,233,0,0,0,0,1,0,0,0
Validate that data is correctly partitioned in the database ,234,0,0,0,0,0,1,0,0
Check that the application is compatible with the latest web browsers ,235,1,1,0,0,0,0,0,0
Confirm that user-generated content is scanned for malware before upload ,236,0,0,0,0,0,0,1,0
Test that the application's response time is within acceptable limits under heavy load ,237,0,0,1,0,0,0,0,0
Ensure that user preferences are saved and persist between sessions ,238,1,0,0,0,1,0,0,0
Verify that the application can handle high volumes of simultaneous users ,239,0,0,1,0,0,0,0,0
Check that all outgoing communications are logged for auditing ,240,0,0,0,0,0,1,1,0
Confirm that the database uses indexes appropriately for query optimization ,241,0,0,1,0,0,1,0,0
Test that the application's recovery procedures are effective after a crash ,242,0,0,0,1,0,0,0,0
Ensure that user data is anonymized in testing environments ,243,0,0,0,0,0,0,1,0
Validate that all critical processes have transactional integrity ,244,1,0,0,0,0,1,0,0
Check that the application's search feature can handle special characters ,245,1,0,0,0,1,0,0,0
Confirm that the user interface reflects the correct local time zone ,246,0,1,0,0,1,0,0,0
Test that the application's API can handle a high number of requests per second ,247,0,0,1,1,0,0,0,0
Ensure that data integrity is maintained after database migrations ,248,0,0,0,0,0,1,0,0
Verify that user accounts are locked after a set number of incorrect login attempts ,249,0,0,0,0,1,0,1,0
Check that the application maintains a consistent look and feel across different modules ,250,0,1,0,0,0,0,0,0
Confirm that the application does not store sensitive data in logs ,251,0,0,0,0,0,0,1,0
Test that email addresses are validated for correct format ,252,1,0,0,0,0,0,0,0
Ensure that the application does not leak memory over time ,253,0,0,1,0,0,0,0,0
Validate that third-party plugins do not compromise application security ,254,0,0,0,1,0,0,1,0
Check that the application's file upload feature restricts file size appropriately ,255,1,0,0,0,0,0,1,0
Confirm that batch jobs do not negatively impact application performance ,256,0,0,1,1,0,0,0,0
Test that the application's print function formats documents correctly ,257,1,1,0,0,0,0,0,0
Ensure that the application properly sanitizes user input to prevent SQL injection ,258,0,0,0,0,0,0,1,0
Verify that the application has a responsive design on mobile devices ,259,0,1,0,0,1,0,0,0
Check that the application's API provides meaningful error messages ,260,0,0,0,1,1,0,0,0
Confirm that data visualization tools render graphs correctly ,261,1,1,0,0,0,0,0,0
Test that the application can recover from a database failover ,262,0,0,0,1,0,0,0,0
Ensure that the application tracks user actions for audit purposes ,263,0,0,0,0,0,0,1,0
Validate that the application's update process does not disrupt user activity ,264,1,0,0,0,1,0,0,0
Check that all third-party services comply with the application's privacy policy ,265,0,0,0,0,0,0,1,1
Confirm that the application's shopping cart can handle multiple discount codes ,266,1,0,0,0,0,0,0,0
Test that the user can navigate the application via keyboard shortcuts ,267,0,0,0,0,1,0,0,0
Ensure that the application's reporting tools allow for custom report creation ,268,1,0,0,0,0,0,0,1
Verify that the application enforces password complexity requirements ,269,0,0,0,0,0,0,1,0
