Description,Test_ID,Functionality_Test_Case,User_Interface_Test_Case,Performance_Test_Case,Integration_Test_Case,Usability_Test_Case,Database_Test_Case,Security_Test_Case,User_Acceptance_Test_Case
Proper validation messages should be displayed for all invalid values for filter criteria.,61,0,0,0,0,1,1,1,1
Page loading symbol should be displayed when it??s taking more than default time to load the result page.,62,0,1,0,1,0,1,1,1
Check if all the search parameters are used to fetch data shown on the result grid.,63,1,1,0,0,0,1,1,0
The total number of results should be displayed in the result grid.,64,0,1,1,0,1,1,0,1
Search criteria used for searching should be displayed in the result grid.,65,0,0,0,1,0,0,1,1
Result grid values should be sorted by default column.,66,0,0,0,0,1,0,1,0
Sorted columns should be displayed with a sort icon.,67,0,0,0,1,0,1,0,1
Result grids should include all the specified columns with correct values.,68,1,0,0,0,1,0,0,0
Ascending and descending sorting functionality should work for columns supported by data sorting.,69,0,0,1,1,1,0,0,1
Result grids should be displayed with proper column and row spacing.,70,0,1,1,0,0,1,1,1
Pagination should be enabled when there are more results than the default result count per page.,71,0,1,0,0,0,0,1,0
"Check for Next, Previous, First and Last page pagination functionality.",72,0,1,1,0,1,0,0,1
Duplicate records should not be displayed in the result grid.,73,1,1,1,0,0,1,0,1
Check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,74,1,1,1,1,1,1,1,0
Check the data for dynamic columns (columns whose values are calculated dynamically based on the other column values).,75,0,0,1,1,1,1,1,1
For result grids showing reports check ??Totals?? row and verify the total for every column.,76,0,0,0,0,1,0,1,0
For result grids showing reports check ??Totals?? row data when pagination is enabled and the user gets navigated to the next page.,77,1,0,1,1,1,0,1,1
Check if proper symbols are used for displaying column values e.g. % symbol should be displayed for percentage calculation.,78,0,1,0,1,1,1,1,1
Check result grid data to know if the date range is enabled.,79,0,0,1,1,1,0,1,0
Test Scenarios For A Window,80,1,1,0,1,0,0,0,0
Check if the default window size is correct.,81,0,0,0,1,0,1,0,0
Check if the child window size is correct.,82,1,0,0,0,1,0,0,0
"Check if there is any field on the page with default focus (in general, the focus should be set on the first input field of the screen).",83,0,0,0,1,1,1,0,0
Check if child windows are getting closed on closing parent/opener window.,84,0,1,0,0,0,1,0,0
"If the child window is opened, the user should not be able to use or update any field in the background or parent window",85,0,1,1,0,1,1,1,1
"Check window minimize, maximize, and close functionality.",86,0,0,1,0,1,0,1,0
Check if the window is re-sizable.,87,1,0,0,0,1,1,1,0
Check scroll bar functionality for parent and child windows.,88,0,1,1,1,1,0,1,0
Check cancel button functionality for the child window.,89,1,1,1,1,1,0,0,1
Check if correct data is getting saved in the database upon a successful page submit.,90,1,1,0,0,1,0,1,1
Check values for columns that are not accepting null values.,91,1,1,1,1,0,1,1,0
Check for data integrity. Data should be stored in single or multiple tables based on the design.,92,0,1,0,1,0,0,0,0
Index names should be given as per the standards e.g. IND_<Tablename>_<ColumnName>,93,1,0,1,0,1,0,1,0
Tables should have a primary key column.,94,0,0,0,0,0,1,0,0
"Table columns should have description information available (except for audit columns like created date, created by, etc.)",95,1,1,0,1,1,0,0,1
For every database add/update operation log should be added.,96,1,1,1,1,0,1,1,1
Required table indexes should be created.,97,1,1,0,0,1,0,0,0
Check if data is committed to the database only when the operation is successfully completed.,98,0,0,1,1,0,0,0,1
Data should be rolled back in case of failed transactions.,99,0,0,0,0,1,1,1,1
"Database name should be given as per the application type i.e. test, UAT, sandbox, live (though this is not a standard it is helpful for database maintenance)",100,0,1,1,0,0,1,1,1
Database logical names should be given according to the database name (again this is not standard but helpful for DB maintenance).,101,1,0,1,1,1,0,1,0
Stored procedures should not be named with a prefix ??sp_??,102,1,1,0,0,0,1,0,0
"Check if values for table audit columns (like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc.) are populated properly.",103,0,0,1,1,0,1,1,1
Check if input data is not truncated while saving. Field length shown to the user on the page and in database schema should be the same.,104,1,1,1,0,0,1,0,0
"Check numeric fields with minimum, maximum, and float values.",105,1,1,1,0,1,0,0,0
Check numeric fields with negative values (for both acceptance and non-acceptance).,106,0,1,1,1,0,0,0,0
Check if the radio button and drop-down list options are saved correctly in the database.,107,1,0,1,1,0,0,0,1
Check if the database fields are designed with the correct data type and data length.,108,1,1,1,1,0,1,0,0
"Check if all the table constraints like a Primary key, Foreign key, etc. are implemented correctly.",109,1,1,0,0,0,1,0,0
Test stored procedures and triggers with sample input data.,110,0,0,0,0,0,1,0,0
Input field leading and trailing spaces should be truncated before committing data to the database.,111,1,0,1,1,1,1,0,1
Null values should not be allowed for the Primary key column.,112,1,1,1,1,0,1,0,0
Check for uploaded image path.,113,0,1,0,0,1,0,1,0
Check image upload and change functionality.,114,0,0,0,0,0,0,0,0
"Check image upload functionality with image files of different extensions (For Example, JPEG, PNG, BMP, etc.)",115,1,0,0,1,1,0,0,1
Check image upload functionality with images having space or any other allowed special character in the file name.,116,0,0,0,1,1,1,1,0
Check duplicate name image upload.,117,0,1,0,0,1,0,0,0
Check image upload with image size greater than the max allowed size. The Proper error message should be displayed.,118,0,1,0,1,0,1,0,1
"Check image upload functionality with file types other than images (For Example, txt, doc, pdf, exe, etc.). A proper error message should be displayed.",119,1,1,0,1,1,0,1,1
Check if images of specified height and width (if defined) are accepted otherwise rejected.,120,1,1,1,0,0,1,0,1
The image upload progress bar should appear for large size images.,121,0,0,1,1,1,1,0,0
Check if the cancel button functionality is working in between the upload process.,122,1,0,0,0,1,0,1,1
Check if file selection dialog shows only supported files listed.,123,0,1,0,0,0,0,1,1
Check multiple images upload functionality.,124,1,0,1,1,0,0,1,1
Check image quality after upload. Image quality should not be changed after upload.,125,0,1,0,1,0,0,1,1
The email template should use standard CSS for all emails.,126,0,0,1,0,0,1,0,0
Email addresses should be validated before sending emails.,127,0,1,0,0,1,0,0,1
Special characters in the email body template should be handled properly.,128,1,1,0,1,1,1,0,1
"Language-specific characters (For Example, Russian, Chinese or German language characters) should be handled properly in the email body template.",129,0,1,1,1,0,1,0,0
Email subject should not be blank.,130,1,1,1,1,1,1,1,1
Placeholder fields used in the email template should be replaced with actual values e.g. {Firstname} {Lastname} should be replaced with an individual??s first and last name properly for all the recipients.,131,0,0,1,0,1,1,0,0
If reports with dynamic values are included in the email body and report data should be calculated correctly.,132,0,1,1,0,0,0,0,1
Email sender name should not be blank.,133,1,0,0,1,1,1,1,1
"Emails should be checked in different email clients like Outlook, Gmail, Hotmail, Yahoo! mail, etc.",134,0,1,0,0,0,1,0,0
"Check to send email functionality using TO, CC and BCC fields.",135,1,0,0,0,0,0,0,0
Check plain text emails.,136,1,0,1,0,0,0,1,0
Check HTML format emails.,137,1,1,0,0,0,1,1,1
"Check email header and footer for company logo, privacy policy, and other links.",138,1,1,0,0,0,0,0,1
Check emails with attachments.,139,0,0,1,0,0,1,0,0
"Check to send email functionality to single, multiple or distribution list recipients.",140,1,0,1,0,0,0,1,1
Check if a reply to the email address is correct.,141,1,0,1,1,0,1,0,1
Check to send the high volume of emails.,142,1,1,0,0,1,1,1,0
Test Scenarios For Excel Export Functionality,143,0,1,1,0,0,0,1,1
The file should get exported in the proper file extension.,144,1,0,0,0,1,0,1,0
"The file name for the exported Excel file should be as per the standards, For Example, if the file name is using the timestamp, it should get replaced properly with an actual timestamp at the time of exporting the file.",145,0,0,1,0,1,1,1,1
Check for date format if exported Excel file contains the date columns.,146,0,1,0,0,1,1,0,0
Check number formatting for numeric or currency values. Formatting should be the same as shown on the page.,147,0,0,1,0,0,1,0,1
The exported file should have columns with proper column names.,148,1,0,0,1,1,0,0,0
Default page sorting should be carried in the exported file as well.,149,0,0,1,1,0,0,0,0
"Excel file data should be formatted properly with header and footer text, date, page numbers, etc. values for all pages.",150,1,1,1,1,0,0,1,0
Check if the data displayed on a page and exported Excel file is the same.,151,0,1,0,1,0,1,1,1
Check export functionality when pagination is enabled.,152,0,0,1,0,1,1,1,0
"Check if the export button is showing proper icon according to the exported file type, For Example, Excel file icon for xls files",153,1,0,0,0,1,1,0,1
Check export functionality for files with very large size.,154,0,1,1,1,1,1,1,1
Check export functionality for pages containing special characters. Check if these special characters are exported properly in the Excel file.,155,0,1,1,0,0,1,0,1
Performance Testing Test Scenarios,156,1,0,0,1,0,0,1,1
Check if the page load time is within the acceptable range.,157,0,0,1,0,0,1,1,0
Check the page load on slow connections.,158,1,1,1,0,0,1,1,1
"Check the response time for any action under a light, normal, moderate, and heavy load conditions.",159,1,1,0,0,0,1,1,1
Check the performance of database stored procedures and triggers.,160,0,0,1,0,0,1,0,1
Check the database query execution time.,161,1,1,1,0,0,0,0,1
Check for load testing of the application.,162,1,0,1,0,0,1,1,1
Check for the Stress testing of the application.,163,1,0,1,0,0,1,1,0
Check CPU and memory usage under peak load conditions.,164,0,1,1,0,1,0,1,0
Security Testing Test Scenarios,165,1,1,0,0,1,0,0,1
Check for SQL injection attacks.,166,1,0,1,0,1,1,1,1
Secure pages should use the HTTPS protocol.,167,1,0,0,0,0,1,1,1
Page crash should not reveal application or server info. The error page should be displayed for this.,168,1,0,1,1,1,0,0,1
Escape special characters in the input.,169,1,0,0,0,0,1,1,0
Error messages should not reveal any sensitive information.,170,1,1,1,0,1,1,0,1
All credentials should be transferred over an encrypted channel.,171,1,1,1,0,0,0,0,1
Test password security and password policy enforcement.,172,0,1,1,1,0,1,0,0
Check application logout functionality.,173,0,0,0,1,0,1,0,1
Check for Brute Force Attacks.,174,1,1,1,1,1,1,1,0
Cookie information should be stored in encrypted format only.,175,1,0,0,0,0,0,1,0
Check session cookie duration and session termination after timeout or logout.,176,0,0,0,0,1,0,0,0
Session tokens should be transmitted over a secured channel.,177,0,0,1,0,0,1,0,0
The password should not be stored in cookies.,178,0,0,0,0,0,1,0,1
Test for Denial of Service attacks.,179,1,1,0,0,0,1,1,0
Test for memory leakage.,180,0,1,1,0,1,0,1,1
Test unauthorized application access by manipulating variable values in the browser address bar.,181,1,1,1,1,0,0,1,0
Test file extension handing so that exe files are not uploaded and executed on the server.,182,1,1,0,0,1,0,1,1
Sensitive fields like passwords and credit card information should not have to autocomplete enabled.,183,0,1,0,0,1,0,1,0
File upload functionality should use file type restrictions and also anti-virus for scanning uploaded files.,184,1,0,0,1,1,0,0,1
Check if directory listing is prohibited.,185,0,0,0,0,1,1,0,0
Passwords and other sensitive fields should be masked while typing.,186,0,0,0,0,0,1,0,0
Check if forgot password functionality is secured with features like temporary password expiry after specified hours and security question is asked before changing or requesting a new password.,187,1,1,0,0,0,1,0,1
Verify CAPTCHA functionality.,188,1,0,1,0,0,0,0,1
Check if important events are logged in log files.,189,1,0,1,1,1,0,0,1
Check if access privileges are implemented correctly.,190,1,1,0,0,0,0,1,0
environment to be production,191,1,1,1,1,0,1,1,1
Verify successful user login with valid credentials.,192,0,0,0,1,0,1,1,0
API response must be valid and have a body,193,1,1,1,1,1,1,1,0
Ensure invalid inputs are rejected with appropriate error messages.,194,0,1,0,1,0,0,1,1
Test application performance under high user load.,195,1,1,1,0,1,0,1,0
Confirm that all links and buttons navigate to the correct pages.,196,1,1,0,0,1,1,1,1
"Validate data integrity when performing CRUD (Create, Read, Update, Delete) operations.",197,1,0,0,1,1,1,1,0
Verify compatibility across different browsers and devices.,198,0,1,1,0,1,0,1,1
Ensure application responsiveness on varying screen sizes.,199,0,0,1,0,1,0,0,1
Test the accuracy of search functionality with diverse queries.,200,1,0,0,1,1,1,1,1
